RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
 4     1   1   5  14  4  260     6.0     4.8   1008.8     4.1   77  -1    19   108 1   265   -333  9
 4     1   1   5  15  5  270     6.0     4.8   1009.1     4.0   76  -1    25    61 1   271   -334  9
 4     1   1   5  16  4  260     5.0     4.0   1009.8     3.9   78  -1     6    22 1   260   -329  9
 4     1   1   5  17  2  240     4.0     2.4   1010.0     3.8   86  -1     0     0 1   247   -321  9
 4     1   1   5  18  1  240     4.0     0.9   1010.3     3.7   91  -1     0     0 1   238   -314  9
 4     1   1   5  19  0  220     5.0     0.4   1010.4     3.6   93  -1     0     0 1   235   -312  9
 4     1   1   5  20  0  230     6.0    -0.2   1010.6     3.5   94  -1     0     0 1   232   -309  9
 4     1   1   5  21  1  220     5.0    -0.5   1010.9     3.4   94  -1     0     0 1   231   -308  9
 4     1   1   5  22  1  190     5.0    -0.1   1010.8     3.5   93  -1     0     0 1   233   -309  9
 4     1   1   5  23  0  180     6.0    -0.5   1010.7     3.4   94  -1     0     0 1   231   -308  9
 4     1   1   5  24  1  190     5.0    -0.4   1010.5     3.4   93  -1     0     0 1   231   -308  9
 4     1   1   6   1  0  190     5.0    -0.8   1010.4     3.3   94  -1     0     0 1   229   -306  9
 4     1   1   6   2  0  170     4.0    -0.7   1010.0     3.3   93  -1     0     0 1   230   -307  9
 4     1   1   6   3  0  160     5.0    -1.8   1009.7     3.2   96  -1     0     0 1   224   -302  9
 4     1   1   6   4  0  170     5.0    -1.4   1009.2     3.2   94  -1     0     0 1   226   -303  9
 4     1   1   6   5  0  180     6.0    -1.1   1008.9     3.3   94  -1     0     0 1   228   -305  9
 4     1   1   6   6  0  170     5.0    -0.8   1008.5     3.4   94  -1     0     0 1   229   -306  9
 4     1   1   6   7  0  180     3.0    -1.5   1008.5     3.2   94  -1     0     0 1   226   -303  9
 4     1   1   6   8  1  180     5.0    -0.9   1008.5     3.4   95  -1     0     0 1   229   -306  9
 4     1   1   6   9  1  180     5.0    -0.5   1008.6     3.5   95  -1     6    17 1   231   -308  9
