RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
11     1   1   5  24  9  210    15.0    -1.9    859.6     3.7   97  73     0     0 1   291   -306  9
11     1   1   6   1  9  220    15.0    -2.0    859.2     3.8   99  73     0     0 1   290   -305  9
11     1   1   6   2  9  240    14.0    -1.8    858.5     3.9   99  71     0     0 1   291   -306  9
11     1   1   6   3  9  250    17.0    -2.1    858.5     3.7   98  71     0     0 1   290   -305  9
11     1   1   6   4  9  250    17.0    -2.5    858.7     3.6   99  71     0     0 1   288   -303  9
11     1   1   6   5  9  240    16.0    -2.4    858.5     3.6   98  71     0     0 1   289   -304  9
11     1   1   6   6  9  240    17.0    -2.2    858.4     3.7   99  73     0     0 1   289   -305  9
11     1   1   6   7  9  250    21.0    -2.5    858.3     3.6   99  73     0     0 1   288   -303  9
11     1   1   6   8  9  260    22.0    -2.7    858.6     3.5   98  73     0     0 1   287   -302  9
11     1   1   6   9  9  270    19.0    -2.9    860.8     3.5   98  73     0     3 1   286   -301  9
11     1   1   6  10  9  270    20.0    -3.1    862.6     3.5   99  75     0    11 1   285   -300  9
11     1   1   6  11  9  270    21.0    -3.6    864.4     3.3   99  71     0    25 1   283   -298  9
11     1   1   6  12  8  260    20.0    -3.6    865.3     3.3   99  41     0    39 1   264   -297  9
11     1   1   6  13  9  270    18.0    -3.6    866.6     3.3   99  71     0    28 1   283   -298  9
11     1   1   6  14  9  260    20.0    -3.4    866.9     3.4  100  70     0     8 1   284   -299  9
11     1   1   6  15  9  260    20.0    -3.3    868.0     3.4   99  49     0    14 1   284   -300  9
11     1   1   6  16  9  270    22.0    -3.3    868.6     3.4   99  49     0     6 1   284   -300  9
11     1   1   6  17  9  270    21.0    -3.3    869.2     3.4   99  49     0     0 1   284   -300  9
11     1   1   6  18  9  280    20.0    -3.3    870.2     3.4   99  49     0     0 1   284   -300  9
11     1   1   6  19  9  270    18.0    -3.5    871.1     3.3   99  49     0     0 1   283   -299  9
11     1   1   6  20  9  270    15.0    -3.7    872.2     3.3  100  49     0     0 1   282   -298  9
11     1   1   6  21  9  270    15.0    -3.6    872.8     3.3   99  49     0     0 1   283   -298  9
11     1   1   6  22  9  260    13.0    -3.6    873.4     3.3   99  49     0     0 1   283   -298  9
11     1   1   6  23  3  260    13.0    -4.0    873.9     3.2   98  41     0     0 1   214   -292  9
11     1   1   6  24  7  250    11.0    -4.0    874.3     3.2   98  41     0     0 1   238   -293  9
11     1   1   7   1  7  230    10.0    -3.9    874.5     3.1   95  41     0     0 1   226   -293  9
11     1   1   7   2  7  240    13.0    -3.4    873.9     3.3   99  41     0     0 1   231   -295  9
11     1   1   7   3  9  230    13.0    -2.8    874.0     3.5   99  49     0     0 1   287   -302  9
11     1   1   7   4  9  220    13.0    -2.5    873.8     3.6   99  71     0     0 1   288   -303  9
11     1   1   7   5  9  240    14.0    -1.9    873.5     3.7   99  71     0     0 1   291   -306  9
11     1   1   7   6  9  240    15.0    -1.1    873.3     4.0   99  70     0     0 1   295   -310  9
11     1   1   7   7  9  250    18.0    -0.2    872.7     4.3   99  56     0     0 1   299   -314  9
